instrument,sex,hand,id,bin_edge,value
akkordeon,w,left,54,4,81.6
akkordeon,w,left,54,5,84.0
akkordeon,w,left,54,6,86.4
akkordeon,w,left,54,7,88.5
akkordeon,w,left,54,8,90.5
akkordeon,w,left,54,9,92.0
akkordeon,w,left,55,1,69.0
akkordeon,w,left,55,2,74.1
akkordeon,w,left,55,3,80.9
akkordeon,w,left,55,4,86.6
akkordeon,w,left,55,5,89.0
akkordeon,w,left,55,6,91.4
akkordeon,w,left,55,7,95.0
akkordeon,w,left,55,8,99.0
akkordeon,w,left,55,9,102.0
akkordeon,w,right,40,1,35.0
akkordeon,w,right,40,2,36.0
akkordeon,w,right,40,3,37.0
akkordeon,w,right,40,4,38.5
akkordeon,w,right,40,5,40.0
akkordeon,w,right,40,6,40.0
akkordeon,w,right,40,7,40.0
akkordeon,w,right,40,8,41.0
akkordeon,w,right,40,9,42.0
akkordeon,w,right,41,1,17.0
akkordeon,w,right,41,2,22.0
akkordeon,w,right,41,3,27.0
akkordeon,w,right,41,4,27.5
akkordeon,w,right,41,5,28.0
akkordeon,w,right,41,6,29.5
akkordeon,w,right,41,7,31.0
akkordeon,w,right,41,8,31.0
akkordeon,w,right,41,9,31.0
akkordeon,w,right,42,1,54.0
akkordeon,w,right,42,2,60.0
akkordeon,w,right,42,3,66.0
akkordeon,w,right,42,4,66.5
akkordeon,w,right,42,5,67.0
akkordeon,w,right,42,6,67.5
akkordeon,w,right,42,7,68.0
akkordeon,w,right,42,8,70.5
akkordeon,w,right,42,9,73.0
egitarre,m,left,1,1,174.5
egitarre,m,left,1,2,177.0
egitarre,m,left,1,3,180.5
egitarre,m,left,1,4,183.5
egitarre,m,left,1,5,185.0
egitarre,m,left,1,6,187.0
egitarre,m,left,1,7,189.5
egitarre,m,left,1,8,194.0
egitarre,m,left,1,9,197.0
egitarre,m,left,2,1,81.0
egitarre,m,left,2,2,82.5
egitarre,m,left,2,3,83.5
egitarre,m,left,2,4,85.5
egitarre,m,left,2,5,87.5
egitarre,m,left,2,6,88.0
egitarre,m,left,2,7,88.0
egitarre,m,left,2,8,88.0
egitarre,m,left,2,9,90.0
egitarre,m,left,3,1,0.43
egitarre,m,left,3,2,0.46
egitarre,m,left,3,3,0.47
egitarre,m,left,3,4,0.47
egitarre,m,left,3,5,0.47
egitarre,m,left,3,6,0.47
egitarre,m,left,3,7,0.47
egitarre,m,left,3,8,0.47
egitarre,m,left,3,9,0.48
egitarre,m,left,4,1,55.0
egitarre,m,left,4,2,56.0
egitarre,m,left,4,3,56.5
egitarre,m,left,4,4,57.5
egitarre,m,left,4,5,58.5
egitarre,m,left,4,6,59.5
egitarre,m,left,4,7,60.5
egitarre,m,left,4,8,61.5
egitarre,m,left,4,9,62.5
egitarre,m,left,5,1,84.0
egitarre,m,left,5,2,88.0
egitarre,m,left,5,3,90.0
egitarre,m,left,5,4,91.0
egitarre,m,left,5,5,93.0
egitarre,m,left,5,6,94.5
egitarre,m,left,5,7,95.5
egitarre,m,left,5,8,96.5
egitarre,m,left,5,9,97.5
egitarre,m,left,6,1,89.0
egitarre,m,left,6,2,91.0
egitarre,m,left,6,3,92.0
egitarre,m,left,6,4,92.0
egitarre,m,left,6,5,93.0
egitarre,m,left,6,6,94.0
egitarre,m,left,6,7,95.5
egitarre,m,left,6,8,97.5
egitarre,m,left,6,9,99.0
egitarre,m,left,7,1,0.92
egitarre,m,left,7,2,0.96
egitarre,m,left,7,3,0.97
egitarre,m,left,7,4,0.98
egitarre,m,left,7,5,0.98
egitarre,m,left,7,6,0.99
egitarre,m,left,7,7,1.01
egitarre,m,left,7,8,1.02
egitarre,m,left,7,9,1.02
egitarre,m,left,24,1,68.0
egitarre,m,left,24,2,69.0
egitarre,m,left,24,3,70.5
egitarre,m,left,24,4,71.0
egitarre,m,left,24,5,73.0
egitarre,m,left,24,6,75.5
egitarre,m,left,24,7,76.0
egitarre,m,left,24,8,77.0
egitarre,m,left,24,9,81.5
egitarre,m,left,27,1,34.0
egitarre,m,left,27,2,37.0
egitarre,m,left,27,3,38.0
egitarre,m,left,27,4,38.5
egitarre,m,left,27,5,39.0
egitarre,m,left,27,6,40.5
egitarre,m,left,27,7,42.5
egitarre,m,left,27,8,44.5
egitarre,m,left,27,9,48.0
egitarre,m,left,28,1,52.0
egitarre,m,left,28,2,52.0
egitarre,m,left,28,3,52.0
egitarre,m,left,28,4,52.0
egitarre,m,left,28,5,52.0
egitarre,m,left,28,6,52.0
egitarre,m,left,28,7,52.0
egitarre,m,left,28,8,52.0
egitarre,m,left,28,9,52.0
egitarre,m,left,29,1,150.4
egitarre,m,left,29,2,153.4
egitarre,m,left,29,3,160.2
egitarre,m,left,29,4,165.5
egitarre,m,left,29,5,170.0
egitarre,m,left,29,6,174.5
egitarre,m,left,29,7,185.4
egitarre,m,left,29,8,188.7
egitarre,m,left,29,9,235.8
egitarre,m,left,30,1,175.8
egitarre,m,left,30,2,181.2
egitarre,m,left,30,3,185.2
egitarre,m,left,30,4,190.8
egitarre,m,left,30,5,198.0
egitarre,m,left,30,6,200.7
egitarre,m,left,30,7,201.8
egitarre,m,left,30,8,210.4
egitarre,m,left,30,9,218.2
egitarre,m,left,31,1,183.0
egitarre,m,left,31,2,188.7
egitarre,m,left,31,3,198.0
egitarre,m,left,31,4,210.3
egitarre,m,left,31,5,213.0
egitarre,m,left,31,6,213.9
egitarre,m,left,31,7,216.4
egitarre,m,left,31,8,226.1
egitarre,m,left,31,9,232.4
egitarre,m,left,32,1,198.2
egitarre,m,left,32,2,203.6
egitarre,m,left,32,3,208.8
egitarre,m,left,32,4,224.2
egitarre,m,left,32,5,226.0
egitarre,m,left,32,6,227.8
egitarre,m,left,32,7,229.6
egitarre,m,left,32,8,231.4
egitarre,m,left,32,9,233.8
egitarre,m,left,33,1,71.6
egitarre,m,left,33,2,77.3
egitarre,m,left,33,3,78.8
egitarre,m,left,33,4,82.1
egitarre,m,left,33,5,83.0
egitarre,m,left,33,6,88.4
egitarre,m,left,33,7,99.4
egitarre,m,left,33,8,104.8
egitarre,m,left,33,9,106.6
egitarre,m,left,34,1,54.2
egitarre,m,left,34,2,57.8
egitarre,m,left,34,3,63.4
egitarre,m,left,34,4,69.1
egitarre,m,left,34,5,70.0
egitarre,m,left,34,6,78.1
egitarre,m,left,34,7,79.0
egitarre,m,left,34,8,86.7
egitarre,m,left,34,9,97.8
egitarre,m,left,35,1,81.8
egitarre,m,left,35,2,83.6
egitarre,m,left,35,3,85.4
egitarre,m,left,35,4,87.4
egitarre,m,left,35,5,91.0
egitarre,m,left,35,6,94.6
egitarre,m,left,35,7,96.6
egitarre,m,left,35,8,104.0
egitarre,m,left,35,9,109.4
egitarre,m,left,36,1,109.2
egitarre,m,left,36,2,111.3
egitarre,m,left,36,3,112.0
egitarre,m,left,36,4,112.7
egitarre,m,left,36,5,119.0
egitarre,m,left,36,6,119.9
egitarre,m,left,36,7,120.8
egitarre,m,left,36,8,128.7
egitarre,m,left,36,9,142.8
egitarre,m,left,37,1,122.2
egitarre,m,left,37,2,124.3
egitarre,m,left,37,3,125.2
egitarre,m,left,37,4,126.2
egitarre,m,left,37,5,128.0
egitarre,m,left,37,6,138.8
egitarre,m,left,37,7,143.2
egitarre,m,left,37,8,149.6
egitarre,m,left,37,9,154.4
egitarre,m,left,38,1,149.0
egitarre,m,left,38,2,158.0
egitarre,m,left,38,3,165.2
egitarre,m,left,38,4,166.1
egitarre,m,left,38,5,167.0
egitarre,m,left,38,6,171.5
egitarre,m,left,38,7,176.8
egitarre,m,left,38,8,179.4
egitarre,m,left,38,9,191.4
egitarre,m,left,39,1,44.5
egitarre,m,left,39,2,54.0
egitarre,m,left,39,3,58.0
egitarre,m,left,39,4,62.5
egitarre,m,left,39,5,64.0
egitarre,m,left,39,6,64.0
egitarre,m,left,39,7,66.5
egitarre,m,left,39,8,69.0
egitarre,m,left,39,9,78.5
egitarre,m,left,40,1,26.5
egitarre,m,left,40,2,29.5
egitarre,m,left,40,3,31.5
egitarre,m,left,40,4,32.0
egitarre,m,left,40,5,33.0
egitarre,m,left,40,6,35.0
egitarre,m,left,40,7,36.0
egitarre,m,left,40,8,36.5
egitarre,m,left,40,9,37.5
egitarre,m,left,41,1,23.0
egitarre,m,left,41,2,26.5
egitarre,m,left,41,3,27.5
egitarre,m,left,41,4,28.5
egitarre,m,left,41,5,29.0
egitarre,m,left,41,6,31.0
egitarre,m,left,41,7,33.5
egitarre,m,left,41,8,34.5
egitarre,m,left,41,9,37.5
egitarre,m,left,42,1,55.5
egitarre,m,left,42,2,58.5
egitarre,m,left,42,3,60.0
egitarre,m,left,42,4,60.0
egitarre,m,left,42,5,61.0
egitarre,m,left,42,6,63.0
egitarre,m,left,42,7,65.0
egitarre,m,left,42,8,68.5
egitarre,m,left,42,9,73.5
egitarre,m,left,43,1,78.0
egitarre,m,left,43,2,83.5
egitarre,m,left,43,3,84.5
egitarre,m,left,43,4,85.0
egitarre,m,left,43,5,88.5
egitarre,m,left,43,6,93.0
egitarre,m,left,43,7,96.0
egitarre,m,left,43,8,98.5
egitarre,m,left,43,9,102.0
egitarre,m,left,44,1,68.0
egitarre,m,left,44,2,70.5
egitarre,m,left,44,3,71.0
egitarre,m,left,44,4,72.5
egitarre,m,left,44,5,75.5
egitarre,m,left,44,6,78.5
egitarre,m,left,44,7,81.0
egitarre,m,left,44,8,82.0
egitarre,m,left,44,9,82.5
egitarre,m,left,45,1,153.0
egitarre,m,left,45,2,155.0
egitarre,m,left,45,3,156.0
egitarre,m,left,45,4,160.5
egitarre,m,left,45,5,164.5
egitarre,m,left,45,6,169.5
egitarre,m,left,45,7,174.5
egitarre,m,left,45,8,175.5
egitarre,m,left,45,9,179.0
egitarre,m,left,46,1,62.5
egitarre,m,left,46,2,68.5
egitarre,m,left,46,3,72.5
egitarre,m,left,46,4,78.5
egitarre,m,left,46,5,85.0
egitarre,m,left,46,6,90.5
egitarre,m,left,46,7,94.5
egitarre,m,left,46,8,96.0
egitarre,m,left,46,9,96.0
egitarre,m,left,47,1,20.5
egitarre,m,left,47,2,25.0
egitarre,m,left,47,3,31.0
egitarre,m,left,47,4,42.5
egitarre,m,left,47,5,59.0
egitarre,m,left,47,6,68.0
egitarre,m,left,47,7,73.0
egitarre,m,left,47,8,78.5
egitarre,m,left,47,9,84.0
egitarre,m,left,48,1,60.0
egitarre,m,left,48,2,67.5
egitarre,m,left,48,3,75.0
egitarre,m,left,48,4,76.5
egitarre,m,left,48,5,83.0
egitarre,m,left,48,6,91.5
egitarre,m,left,48,7,95.5
egitarre,m,left,48,8,98.0
egitarre,m,left,48,9,100.5
egitarre,m,left,49,1,76.5
egitarre,m,left,49,2,80.5
egitarre,m,left,49,3,84.0
egitarre,m,left,49,4,86.5
egitarre,m,left,49,5,91.0
egitarre,m,left,49,6,97.0
egitarre,m,left,49,7,100.0
egitarre,m,left,49,8,103.0
egitarre,m,left,49,9,108.5
egitarre,m,left,50,1,86.5
egitarre,m,left,50,2,89.0
egitarre,m,left,50,3,90.5
egitarre,m,left,50,4,93.5
egitarre,m,left,50,5,99.0
egitarre,m,left,50,6,103.0
egitarre,m,left,50,7,103.5
egitarre,m,left,50,8,109.0
egitarre,m,left,50,9,116.5
egitarre,m,left,51,1,34.4
egitarre,m,left,51,2,38.9
egitarre,m,left,51,3,48.8
egitarre,m,left,51,4,53.2
egitarre,m,left,51,5,64.0
egitarre,m,left,51,6,68.5
egitarre,m,left,51,7,74.6
egitarre,m,left,51,8,78.1
egitarre,m,left,51,9,79.6
